,Car Name,Kilometers Driven (in Km),Fuel Type,Transmission Type,Price (in Lakh),City,Year,Brand
0,Maruti Suzuki Wagon R,9733,Petrol,Manual,5.25,New Delhi,2022,Maruti
1,Mahindra Scorpio,17915,Diesel,Manual,13.75,New Delhi,2022,Mahindra
2,Maruti Suzuki Vitara Brezza,27398,Petrol,Manual,8.5,New Delhi,2022,Maruti
3,Tata Altroz,4900,Petrol,Manual,9.75,New Delhi,2023,Tata
4,Mahindra XUV300,27200,Diesel,Manual,10.15,New Delhi,2022,Mahindra
5,Toyota Innova Crysta,16791,Diesel,Manual,16.95,New Delhi,2021,Toyota
6,Hyundai i20 N Line,5188,Petrol,Automatic,10.25,New Delhi,2022,Hyundai
7,Kia Seltos,35700,Petrol,Manual,13.75,New Delhi,2022,Kia
8,Mahindra Bolero Neo,38000,Diesel,Manual,9.5,New Delhi,2021,Mahindra
9,MG Astor,43189,Petrol,Automatic,13.0,New Delhi,2022,MG
10,Tata Safari,41085,Diesel,Automatic,17.95,New Delhi,2022,Tata
11,Maruti Suzuki Ritz,70474,Petrol,Manual,3.65,New Delhi,2015,Maruti
12,Honda City,53236,Petrol,Manual,5.0,New Delhi,2016,Honda
13,Maruti Suzuki Ertiga,51000,Petrol+CNG,Manual,10.5,New Delhi,2021,Maruti
14,Honda Amaze,52878,Petrol,Manual,5.65,New Delhi,2018,Honda
15,Maruti Suzuki Wagon R,13022,Petrol,Manual,5.65,New Delhi,2023,Maruti
16,Maruti Suzuki Baleno,50923,Petrol,Manual,5.9,New Delhi,2018,Maruti
17,Hyundai i20 Active,64278,Petrol,Manual,6.35,New Delhi,2018,Hyundai
18,Honda Amaze,55000,Petrol,Automatic,6.75,New Delhi,2019,Honda
19,Hyundai Creta,75344,Petrol,Manual,8.25,New Delhi,2019,Hyundai
20,Hyundai Creta,63685,Petrol,Automatic,9.9,New Delhi,2019,Hyundai
21,Maruti Suzuki S-Presso,27000,Petrol,AMT,4.75,New Delhi,2021,Maruti
22,Maruti Suzuki Baleno,14600,Petrol,Manual,7.1,New Delhi,2022,Maruti
23,Tata Punch,3600,Petrol+CNG,Manual,8.75,New Delhi,2024,Tata
24,Maruti Suzuki Baleno,21000,Petrol,Manual,8.9,New Delhi,2023,Maruti
25,Hyundai Verna,75000,Petrol,Automatic,9.5,New Delhi,2018,Hyundai
26,Toyota Innova Crysta,85000,Diesel,Automatic,15.25,New Delhi,2018,Toyota
27,Mahindra Scorpio,88787,Diesel,Manual,2.7,New Delhi,2014,Mahindra
28,Honda Jazz,65032,Petrol,Automatic,5.25,New Delhi,2017,Honda
29,Mahindra XUV500,62960,Diesel,Manual,7.75,New Delhi,2017,Mahindra
30,Honda Elevate,2555,Petrol,Manual,14.9,New Delhi,2023,Honda
31,Toyota Etios,58995,Petrol,Manual,1.9,New Delhi,2011,Toyota
32,Maruti Suzuki Ertiga,73790,Petrol,Manual,5.25,New Delhi,2015,Maruti
33,Honda City ZX,68000,Petrol,Automatic,9.75,New Delhi,2018,Honda
34,Maruti Suzuki Fronx,8700,Petrol,Manual,11.9,New Delhi,2023,Maruti
35,MG Hector,8050,Petrol,Automatic,22.5,New Delhi,2023,MG
36,Maruti Suzuki Wagon R,26897,Petrol+CNG,Manual,5.37,New Delhi,2019,Maruti
37,Maruti Suzuki Wagon R,45600,Petrol,Manual,4.97,New Delhi,2019,Maruti
38,Maruti Suzuki Wagon R,61000,Petrol,AMT,4.65,New Delhi,2018,Maruti
39,Maruti Suzuki Celerio,8365,Petrol,AMT,4.75,New Delhi,2017,Maruti
40,Hyundai New Santro,23508,Petrol,Manual,4.87,New Delhi,2019,Hyundai
41,Maruti Suzuki Dzire,20946,Petrol,Manual,5.5,New Delhi,2018,Maruti
42,Maruti Suzuki Wagon R,53585,Petrol+CNG,Manual,5.87,New Delhi,2021,Maruti
43,Renault Triber,16795,Petrol,Manual,6.47,New Delhi,2021,Renault
44,Honda WR-V,22000,Petrol,Manual,6.97,New Delhi,2018,Honda
45,Hyundai Elite i20,18316,Petrol,Automatic,7.97,New Delhi,2020,Hyundai
46,Nissan Magnite,23000,Petrol,Manual,7.99,New Delhi,2022,Nissan
47,Kia Sonet,29518,Petrol,Manual,9.25,New Delhi,2022,Kia
48,Hyundai Venue,30000,Petrol,Manual,10.45,New Delhi,2022,Hyundai
49,Hyundai Venue N Line,3000,Petrol,Automatic,12.5,New Delhi,2022,Hyundai
50,Hyundai Creta,17950,Petrol,Manual,12.75,New Delhi,2022,Hyundai
51,MG Hector,27487,Petrol,Automatic,13.25,New Delhi,2020,MG
52,MG Astor,28083,Petrol,Manual,13.95,New Delhi,2022,MG
53,Mahindra Thar,18600,Diesel,Automatic,15.77,New Delhi,2021,Mahindra
54,Mahindra Thar,23561,Petrol,Automatic,16.5,New Delhi,2022,Mahindra
55,Kia Seltos,2298,Petrol,Automatic,17.9,New Delhi,2024,Kia
56,Maruti Suzuki Grand Vitara,20682,Hybrid,Automatic,18.95,New Delhi,2023,Maruti
57,Tata Harrier,23259,Diesel,Automatic,19.37,New Delhi,2022,Tata
58,Maruti Suzuki Grand Vitara,4812,Hybrid,Automatic,21.5,New Delhi,2024,Maruti
59,Toyota Camry,26000,Hybrid,Automatic,26.5,New Delhi,2018,Toyota
60,Tata Safari,29487,Diesel,Automatic,18.25,New Delhi,2022,Tata
61,Tata Tiago,48000,Diesel,Manual,4.67,New Delhi,2018,Tata
62,Hyundai Elite i20,49002,Petrol,Manual,6.4,New Delhi,2018,Hyundai
63,Maruti Suzuki Baleno,37000,Petrol,Automatic,6.87,New Delhi,2019,Maruti
64,Tata Altroz,43000,Petrol,Manual,7.67,New Delhi,2022,Tata
65,Toyota Urban Cruiser,35226,Petrol,Manual,9.75,New Delhi,2021,Toyota
66,Mahindra XUV300,50000,Petrol,Manual,9.97,New Delhi,2019,Mahindra
67,Maruti Suzuki XL6,36327,Petrol,Manual,10.57,New Delhi,2020,Maruti
68,Kia Sonet,31396,Diesel,Manual,11.9,New Delhi,2022,Kia
69,MG Astor,44183,Petrol,Manual,13.95,New Delhi,2022,MG
70,Jeep Compass,39000,Petrol,Automatic,14.91,New Delhi,2020,Jeep
71,MG Astor,40275,Petrol,Manual,14.95,New Delhi,2023,MG
72,Mahindra Thar,38074,Petrol,Automatic,15.67,New Delhi,2022,Mahindra
73,Hyundai Elite i20,70000,Petrol,Manual,4.67,New Delhi,2015,Hyundai
74,Maruti Suzuki Baleno,60000,Petrol,Manual,5.14,New Delhi,2016,Maruti
75,Maruti Suzuki Ignis,60000,Petrol,Manual,5.67,New Delhi,2019,Maruti
76,Nissan Magnite,51433,Petrol,Manual,5.97,New Delhi,2021,Nissan
77,Maruti Suzuki Baleno,55000,Petrol,Automatic,6.47,New Delhi,2018,Maruti
78,Maruti Suzuki Baleno,60012,Petrol,Manual,6.5,New Delhi,2019,Maruti
79,Honda Amaze,52000,Petrol,Manual,6.57,New Delhi,2019,Honda
80,Nissan Kicks,72000,Petrol,Manual,6.97,New Delhi,2020,Nissan
81,Honda City,61000,Petrol,Automatic,7.47,New Delhi,2016,Honda
82,Maruti Suzuki Ciaz,61000,Diesel,Manual,7.57,New Delhi,2018,Maruti
83,Tata Nexon,51514,Petrol,Manual,7.75,New Delhi,2022,Tata
84,Tata Nexon,52000,Petrol,Manual,7.87,New Delhi,2021,Tata
85,Volkswagen Vento,59624,Petrol,Manual,7.97,New Delhi,2020,Volkswagen
86,Maruti Suzuki Ertiga,63138,Petrol,Manual,8.67,New Delhi,2020,Maruti
87,Ford EcoSport,83843,Petrol,Automatic,8.87,New Delhi,2020,Ford
88,Volkswagen Polo,65833,Petrol,Automatic,8.95,New Delhi,2019,Volkswagen
89,Hyundai Creta,83860,Petrol,Manual,10.5,New Delhi,2019,Hyundai
90,Skoda Octavia,54000,Petrol,Automatic,14.47,New Delhi,2018,Skoda
91,Hyundai Creta,60950,Petrol,Automatic,16.37,New Delhi,2021,Hyundai
92,Honda City,50000,Petrol,Manual,3.5,New Delhi,2013,Honda
93,Maruti Suzuki S-Presso,36000,Petrol,Manual,4.37,New Delhi,2020,Maruti
